,Winners,Winners,Winners,Runners Up,Runners Up,Runners Up
,Association,Country,Code,Country,Association,Code
Year,,,,,,
1930,UEFA,Uruguay,URU,Argentina,UEFA,ARG
1934,CONMEBOL,Italy,ITA,Czechoslovakia,,
1938,CONMEBOL,Italy,ITA,Hungary,CONMEBOL,HUN
1950,UEFA,Uruguay,URU,Brazil,UEFA,BRA
1954,CONMEBOL,Germany,GER,Hungary,CONMEBOL,HUN
1958,UEFA,Brazil,BRA,Sweden,CONMEBOL,SWE
1962,UEFA,Brazil,BRA,Czechoslovakia,,
1966,CONMEBOL,England,ENG,Germany,CONMEBOL,GER
1970,UEFA,Brazil,BRA,Italy,CONMEBOL,ITA
1974,CONMEBOL,Germany,GER,Netherlands,CONMEBOL,NED
1978,UEFA,Argentina,ARG,Netherlands,CONMEBOL,NED
1982,CONMEBOL,Italy,ITA,Germany,CONMEBOL,GER
1986,UEFA,Argentina,ARG,Germany,CONMEBOL,GER
1990,CONMEBOL,Germany,GER,Argentina,UEFA,ARG
1994,UEFA,Brazil,BRA,Italy,CONMEBOL,ITA
1998,CONMEBOL,France,FRA,Brazil,UEFA,BRA
2002,UEFA,Brazil,BRA,Germany,CONMEBOL,GER
2006,CONMEBOL,Italy,ITA,France,CONMEBOL,FRA
2010,CONMEBOL,Spain,ESP,Netherlands,CONMEBOL,NED
2014,CONMEBOL,Germany,GER,Argentina,UEFA,ARG
2018,CONMEBOL,France,FRA,Croatia,CONMEBOL,CRO
